"name_symbol","FareCorrected","duration_numeric","weighted_Rating"
"HOME_NEU_START",0,0,0
"HOME_NEU_END",0,0,0
"FrdmTrl",16,3,4.6
"FnwyPrk",25,3.5,4.67
"MsmofFA",59,3,4.72
"BstTPSM",29.99,1,4.56
"NrthEnd",20,2,4.63
"JhFKPML",59,3,4.61
"BstnPbG",35,2,4.64
"SmlAdmB",63,2,4.65
"IsblSGM",59,2,4.56
"BstnPbL",35,2,4.65
"BstnCmm",20,3,4.43
"MsmofSc",29,3,4.45
"USSCnst",27.25,1,4.51
"QncyMrk",31,1,4.36
"BecnHll",35,3,4.51
"USSCnsM",4.25,2,4.45
"FnlHllM",20,2,4.27
"NwbrySt",47.15,1,4.42
"BackBay",35,2,4.64
"ThMpprm",63,0.75,4.4
"NwEnglA",31,2,4.13
"BChld_M",46.16,1,4.44
"OldNCHS",4.25,1,4.51
"CstlIsl",73.5,1,4.51
"HrbrWlk",34.6,1,4.54
"BnkrHllMn",4.25,0.75,4.28
"SkywlkO",63,1,4.32
"NwEngHM",4,1,4.62
"ArnldAr",75,1,4.72
"ChrlsRE",47.15,1,4.58
"CplySqr",35,1,4.34
"Wtrfrnt",31,1,4.49
"OldSttH",12,1,4.36
"PrdntlC",46.16,2,4.3
"HrpnBBH",0,1,4.51
"BstnOpH",19,1,4.61
"Mrrt_CH",27.21,1,4.64
"BstnPbM",47.15,0.75,4.42
"TrntyCh",35,1,4.45
"GrnryBG",4.25,1,4.42
"ThPlRvH",4.25,0.75,3.97
"ChrlsNY",27.25,3,4.38
"AcrnStr",11.99,0.75,4.29
"RsKnndG",4,1,4.58
"MsschSH",16,2,4.39
"ThBstnP",0,1,4.76
"SpctclI",19.95,3,4.38
"Grg_sIs",91.57,2,4.53
"Haymrkt",4,1,4.27
"WngThtr",12,3,4.27
"CmmnwAM",75,1,4.61
"Kng_sCh",4.25,0.75,4.39
"ThPOoEG",0,0.75,4.7
"FrogPnd",27,1,4.17
"EMKIftUSS",59,2,4.61
"FrnklPZ",59,1,3.51
"SttofPR",0,1,4.12
"ThLwnOD",0,3,4.39
"USSCssY",1.5,1,4.42
"OldSthC",31,1,4.36
"ThInoCA",63,1,3.69
"Chintwn",25,1,3.34
"DwnstCH",0,2,4.72
"TrllmBC",255,1,4.33
"ChrlsSt",0,1,4.29
"BnkrHll",104.67,1,4.21
"BstnCEC",46.16,1,4.24
"JhnHncT",35,1,4.19
"BylstnS",27,1,4.16
"ChrsCWP",27,1,4.19
"FanPier",899.99,1,4.6
"CplyPlc",46.16,3,4.09
"SWOpnMr",0,3.5,4.29
"BstnAth",0,1,4.62
"SymphnH",46.16,1,4.61
"BstnMsS",4.25,1,3.88
"EtDaMGH",0,1,4.64
"BstnWnr",0,1,4.68
"DrmlnWM",15,2,3.4
"PlRvrMl",27.21,1,4.07
"DwntwnC",46,1,3.45
"PddcksI",34.6,1,4.3
"HynsCnC",0,1,4.2
"LnPZBHB",42,1,4.32
"TFCoC_S",0,1,4.25
"BcnStrt",0,1,4.27
"HymrktS",0,1,4.48
"MryBkEL",63,0.75,4.38
"ThWlbrT",0,1,3.59
"MknWfDS",0,1,4.19
"MtrplWM",0,1,4.68
"BySttCC",0,2,4.61
"MsmoAAH",0,1,4.44
"EmrsnCT",0,1,3.58
"Cpp_HBG",4.25,1,4.11
"DltSkyC",0,1,4.19
"PSRMMoMHaIaMGH",0,0.75,4.6
"MBTAtSS",0,1,4.16
"JmsPKRG",0,1,4.35
"BstnBll",0,1,4.69
"OldCtyH",20,1,3.87
"JamcPnd",75,1,4.54
"PrkStrC",4.25,1,4.09
"PirsPrk",0,1,4.63
"BstnIFM",4,1,4.04
"BstnFrM",0,1,4.48
"NtnPSVC",0,1,4.57
"NwBlnFS",0,1,4.56
"AnaHACM",0,2,4.84
"JamcPln",0,1,4.29
"BstnCVC",27,1,3.72
"BrghtMH",0,1,4.42
"ArlngSC",47.15,0.75,4.62
"SttofBF",4,1,3.87
"SothEnd",57.75,1,4.37
"LttBIaL",91.57,3,4.87
"OtisHos",63,1,4.3
"NwEnCJH",0,1,4.73
"OrphmTh",0,1,2.98
"GrgWshS",0,1,4.13
"CJck_HC",44,0.75,4.33
"ThSprtM",0,2,4
"GbsnHsM",629,1,4.47
"FrtWrrn",0,1,4.68
"RwsWhWT",55.65,1,4.11
"TheFens",0,1,4.2
"Kng_CBG",35,1,4.01
"NchlsHM",0,1,4.46
"DwntATE",0,2,3.87
"CmmnwlM",0,1,4.23
"FrstHlC",0,3,4.42
"SSt_RCC",0,1,3.79
"ChrcotC",0,1,4.61
"SttofSA",39.99,1,3.8
"ThmpsnI",34.6,1,4.64
"LsbrgSq",57.75,1,4.25
"DrcHNHS",0,1,4.44
"WrldTCB",26.25,1,4.38
"EmrldNc",75,1,4.65
"SthBstn",236.4,1,3.88
"LyrSCoB",0,1,4.6
"BrklCoM",0,1,4.43
"ArFrncL",0,1,3.12
"BstnCmC",0,1,4.14
"WrrrIcA",0,1,4.46
"BstnLtS",14,1,3.83
"AggnsAr",0,1,4.09
"ChstnHR",0,1,4.16
"BnkrHllMs",0,0.75,4.13
