"name_symbol","FareCorrected","duration_numeric","weighted_Rating"
"HOME_NEU_START",0,0,0
"HOME_NEU_END",0,0,0
"FnwyPrk",25,3.5,4.67
"MsmofFA",59,3,4.72
"NrthEnd",20,2,4.63
"JhFKPML",59,3,4.61
"BstnPbG",35,2,4.64
"SmlAdmB",25,2,4.65
"BstnPbL",35,2,4.65
"BackBay",35,2,4.64
"NwEngHM",4,1,4.62
"ArnldAr",75,1,4.72
"BstnOpH",19,1,4.61
"Mrrt_CH",19,1,4.64
"ThBstnP",0,1,4.76
"CmmnwAM",15,1,4.61
"ThPOoEG",0,0.75,4.7
"DwnstCH",0,2,4.72
"BstnAth",0,1,4.62
"EtDaMGH",0,1,4.64
"BstnWnr",0,1,4.68
"MtrplWM",0,1,4.68
"BstnBll",0,1,4.69
"PirsPrk",0,1,4.63
"AnaHACM",0,2,4.84
"ArlngSC",47,0.75,4.62
"LttBIaL",10,3,4.87
"NwEnCJH",0,1,4.73
"MFABstn",37,1,4.72
"FrtWrrn",0,1,4.68
"ThmpsnI",34,1,4.64
"EmrldNc",75,1,4.65
